EPIC;ID User Story;Libellé User Story;MVP;Front_or_Back;Module;Dépend de (Parent);Type fonctionnel;Pilier(s);Profil utilisateur;Phrase méthode agile;Besoins testables
EPIC 4 – Calcul d'indicateurs;US4.5;Filtrer les données;True;Front-end;Gestion des données & catalogue;;Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Administrateur expert data;En tant qu'administrateur expert data, je veux filtrer les données afin de restreindre le calcul aux valeurs pertinentes.;"Étant donné l'interface de calcul d'un indicateur, Quand l'administrateur applique des filtres (période, source, qualité, territoire : captage, BVAEP, commune), Alors seules les valeurs répondant aux filtres sont utilisées dans le calcul, Et les filtres appliqués sont affichés à l'écran. - Quand l'administrateur exclut les données de qualité insuffisante (fiabilité faible, anomalies, sous le seuil de complétude), Alors elles sont exclues du calcul, Et l'option d'exclusion est visible dans l'interface. - Quand les filtres sont modifiés, Alors le calcul est relancé sur le nouveau périmètre, Et aucun résultat obsolète n'est affiché sans mention.
Étant donné une combinaison de filtres ne sélectionnant aucune donnée, Quand le calcul est demandé, Alors il est refusé avec le message « aucun jeu de données ne correspond aux filtres appliqués ». - Quand l'administrateur consulte la configuration du calcul, Alors il voit un résumé des critères retenus (période, sources, territoires, seuil de qualité) avant exécution."
EPIC 4 – Calcul d'indicateurs;US4.6;Versionner un indicateur;False;Backend;Gestion des données & catalogue;;Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Administrateur expert data;En tant qu'administrateur expert data, je veux versionner un indicateur afin de conserver la traçabilité de ses évolutions.;
EPIC 4 – Calcul d'indicateurs;US4.7;Recalculer un indicateur;False;Backend;Gestion des données & catalogue;US4.1;Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Administrateur expert data;En tant qu'administrateur expert data, je veux recalculer un indicateur afin de mettre à jour les valeurs après correction.;
EPIC 5 – Analyse multicritère;US5.1;Construire un indice composite;False;Front-end;Suivi & veille;US4.1;Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Administrateur expert data;En tant qu'administrateur expert data, je veux construire un indice composite afin de fournir une base transparente pour l'aide à la décision.;
EPIC 5 – Analyse multicritère;US5.2;Définir des pondérations;False;Front-end;Suivi & veille;US5.1;Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Expert métier eau potable;En tant qu'expert métier eau potable, je veux définir les pondérations de l'analyse multicritère afin d'évaluer le risque réel de dégradation de la ressource.;
EPIC 5 – Analyse multicritère;US5.3;Tester des scénarios;False;Front-end;Suivi & veille;"US5.1 ; US5.2";Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Expert métier eau potable;En tant qu'expert métier eau potable, je veux tester des scénarios de pondération afin d'analyser l'impact des différents facteurs sur le classement de criticité.;
EPIC 5 – Analyse multicritère;US5.4;Comparer scénarios;False;Front-end;Suivi & veille;"US5.1 ; US5.3";Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Expert métier eau potable;En tant qu'expert métier eau potable, je veux comparer les scénarios de l'analyse multicritère afin d'identifier la pondération la plus représentative du terrain.;
EPIC 5 – Analyse multicritère;US5.5;Visualiser contributions;False;Front-end;Suivi & veille;"US5.1 ; US5.3 ; US5.4";Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Expert métier eau potable;En tant qu'expert métier eau potable, je veux visualiser la contribution de chaque indicateur au score de criticité afin de comprendre les facteurs de risque dominants.;
EPIC 5 – Analyse multicritère;US5.6;Documenter méthodes;False;Backend;Suivi & veille;;Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Administrateur expert data;En tant qu'administrateur expert data, je veux documenter les méthodes de calcul afin d'assurer la transparence de l'aide à la décision.;
EPIC 6 – Visualisation;US6.1;Visualiser sur carte;True;Front-end;Cartographie & exploration > Cartographie;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux visualiser les données sur carte afin de situer les territoires concernés.;"Étant donné la plateforme opérationnelle avec des données BVAEP et captages chargées, quand je consulte la vue « Carte », alors une carte interactive s'affiche (fond Cartographique par défaut) avec les objets du périmètre positionnés.
Étant donné une carte affichée, quand je me déplace (pan) ou je zoome, alors l'emprise se met à jour et les objets pertinents apparaissent, sans rechargement de la page.
Étant donné un objet visible (BVAEP, captage, PPE), quand je le survole, alors une infobulle présente son nom et son identifiant.
Étant donné une zone sans donnée dans l'emprise, quand la carte est rendue, alors le périmètre reste lisible avec un libellé explicite (pas de fond vide ambigu)."
EPIC 6 – Visualisation;US6.2;Afficher indicateurs carto;True;Front-end;Cartographie & exploration > Cartographie;US3.5;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux afficher les indicateurs sur la carte afin d'en lire la répartition géographique.;"Étant donné un indicateur sélectionné dans le volet indicateurs, quand je l'applique à la carte, alors les unités sont colorées selon les classes de valeurs de l'indicateur, avec une légende affichant la plage et les couleurs.
Étant donné une unité sans valeur pour l'indicateur, quand la carte est rendue, alors cette unité est affectée à une classe « sans donnée » distincte, hors plage de valeurs.
Étant donné un indicateur calculé ou recalculé, quand je rafraîchis le rendu cartographique, alors les couleurs correspondent aux nouvelles valeurs sans référence obsolète.
Étant donné un changement d'indicateur (via Famille → Thème → Groupe), quand je bascule, alors la légende et les couleurs correspondent immédiatement au nouvel indicateur en conservant la sélection courante."
EPIC 6 – Visualisation;US6.3;Navigation (zoom filtres);True;Front-end;Cartographie & exploration > Cartographie;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux naviguer sur la carte afin d'explorer librement le territoire.;"Étant donné la carte, quand j'utilise les contrôles de zoom et le pan, alors l'emprise évolue et les unités affichées sont recalculées de façon synchrone.
Étant donné une sélection ou des filtres actifs, quand je navigue sur la carte, alors la sélection et les filtres ne sont ni réinitialisés ni altérés.
Étant donné une navigation avancée, quand j'actionne la réinitialisation de la vue, alors l'emprise revient au périmètre par défaut en conservant les filtres utilisateur.
Étant donné un changement d'échelle, quand les unités deviennent trop nombreuses à l'écran, alors la carte propose un regroupement lisible (agrégation visuelle) sans perte de données."
EPIC 6 – Visualisation;US6.4;Graphiques temporels;True;Front-end;Cartographie & exploration > Visualisation & dataviz;US6.7;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Expert métier eau potable;En tant qu'expert métier eau potable, je veux consulter l'évolution temporelle des indicateurs afin d'identifier les dynamiques impactant la ressource.;"Étant donné un indicateur à données historisées, quand je consulte son graphique temporel, alors une série chronologique est tracée avec unité, dates et période affichées.
Étant donné plusieurs unités sélectionnées (captages et/ou BVAEP), quand le graphique temporel est affiché, alors chaque série est identifiée et distinguée par une palette de couleurs cohérente avec la carte.
Étant donné une période sans mesure, quand elle appartient à la série, alors elle apparaît comme une lacune explicite (valeur indisponible), jamais remplacée par un zéro.
Étant donné un point de la série, quand je le survole, alors une infobulle affiche la date et la valeur de l'indicateur."
EPIC 6 – Visualisation;US6.5;Comparer territoires;False;Front-end;Cartographie & exploration > Visualisation & dataviz;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Décideur métier;En tant que décideur métier, je veux comparer des territoires afin d'arbitrer les investissements.;
EPIC 6 – Visualisation;US6.6;Tableau de bord avancé;False;Front-end;Cartographie & exploration > Visualisation & dataviz;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Décideur métier;En tant que décideur métier, je veux disposer d'un tableau de bord avancé afin d'avoir une vue agrégée de l'information.;
EPIC 6 – Visualisation;US6.7;Fiche territoire;True;Front-end;Cartographie & exploration > Fiches & synthèse territoriale;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Décideur métier;En tant que décideur métier, je veux consulter une fiche territoire afin d'avoir une synthèse d'un bassin versant.;"Étant donné une fiche territoire (commune, BVAEP ou bassin versant), quand je la consulte, alors elle présente le périmètre décrit, les unités de gestion associées et les indicateurs disponibles.
Étant donné une fiche territoire générée, quand elle est affichée, alors son contenu est strictement issu des données et indicateurs produits, sans ajout interprétatif ni classement/priorisation.
Étant donné une unité cartographique, quand je l'active (clic ou sélection), alors je peux ouvrir sa fiche territoire depuis la carte.
Étant donné une donnée source mise à jour, quand la fiche est consultée, alors elle reflète la dernière version sans action manuelle."
EPIC 6 – Visualisation;US6.8;Basculer l'échelle d'analyse Captages ↔ Bassins versants;True;Front-end;Cartographie & exploration > Cartographie;"US3.1 ; US3.2";Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux basculer l'échelle d'analyse entre captages et bassins versants afin de changer de niveau de lecture.;"Étant donné une échelle active (captages ou BVAEP), quand je bascule l'échelle, alors la carte affiche immédiatement les unités de la nouvelle échelle sur la même emprise.
Étant donné des sélections distinctes Captages et Bassins versants, quand j'alterne les échelles, alors chaque sélection est rappelée indépendamment (les types d'unités ne sont pas mélangés).
Étant donné un indicateur applicable aux deux échelles, quand je bascule, alors la valeur affichée correspond à l'agrégation de l'échelle active (globale pour un BVAEP, ponctuelle pour un captage).
Étant donné le compteur d'unités, quand je bascule d'échelle, alors il reflète immédiatement le nombre d'unités sélectionnées à la nouvelle échelle."
EPIC 6 – Visualisation;US6.9;Afficher le compteur d'unités sélectionnées;True;Front-end;Cartographie & exploration > Outils d'exploration;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux afficher le compteur d'unités sélectionnées afin de connaître le périmètre courant.;"Étant donné une sélection en cours, quand la vue est chargée, alors un compteur affiche le nombre d'unités sélectionnées, au format « X captages · Y bassins versants ».
Étant donné une action d'ajout ou de retrait de sélection, quand elle est validée, alors le compteur se met à jour en temps réel.
Étant donné une sélection vide, quand la vue est affichée, alors le compteur est à 0 avec un message invitant à sélectionner (aucune ambiguïté entre « rien » et « tout »).
Étant donné la carte, les listes et le compteur, quand une sélection est modifiée, alors ils restent cohérents entre eux."
EPIC 6 – Visualisation;US6.10;Rechercher avec suggestions (commune, province, captage, presets);True;Front-end;Cartographie & exploration > Sélecteur de captages / BV;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux rechercher avec des suggestions afin de trouver rapidement un captage ou une commune.;"Étant donné la zone de recherche, quand je saisis au moins deux caractères, alors des suggestions s'affichent pour : communes, provinces, captages, BVAEP et presets « Top 10 ».
Étant donné un nom saisi, quand la recherche ignore la casse et les accents, alors les résultats attendus sont retrouvés.
Étant donné le choix d'une suggestion commune ou province, quand je valide, alors la carte se centre sur l'entité et la sélection est restreinte à son périmètre (filtre géographique).
Étant donné une recherche sans résultat, quand elle est exécutée, alors un message « Aucun résultat » est affiché, sans rechargement ni erreur."
EPIC 6 – Visualisation;US6.11;Cumuler plusieurs facettes de recherche (sélection multiple);True;Front-end;Cartographie & exploration > Sélecteur de captages / BV;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux cumuler plusieurs facettes de recherche afin d'affiner ma sélection.;"Étant donné plusieurs facettes (commune, province, type d'unité, indicateur), quand je les cumule, alors la sélection résultante est la combinaison des critères définie (intersection des filtres).
Étant donné un filtre et une sélection manuelle combinés, quand la vue est rendue, alors la carte, les listes et le compteur reflètent exactement la même combinaison.
Étant donné des facettes cumulées méthodologiquement incompatibles, quand je tente de les cumuler, alors le système présente un état « filtre incompatible » explicite, sans ambiguïté.
Étant donné l'état courant des facettes, quand je quitte puis reviens sur la vue, alors l'état est restauré ou clairement signalé comme non conservé."
EPIC 6 – Visualisation;US6.12;Afficher les facettes actives en puces décochables (SOLR/CKAN);True;Front-end;Cartographie & exploration > Outils d'exploration;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux voir les facettes actives en puces afin de savoir quels filtres sont appliqués.;"Étant donné au moins un filtre actif, quand la vue s'affiche, alors une puce (chip) portant le libellé du filtre est visible.
Étant donné plusieurs filtres cumulés, quand ils sont tous appliqués, alors une puce par filtre est affichée, sans doublon ni filtre invisible.
Étant donné une puce active, quand je clique sur sa croix de désélection, alors le filtre est retiré et toutes les vues (carte, liste, graphiques) se mettent à jour.
Étant donné l'ensemble des puces, quand je les retire une à une, alors la sélection initiale est progressivement restituée jusqu'au retour à l'état de départ."
EPIC 6 – Visualisation;US6.13;Appliquer un preset « Top 10 » (plus/moins exposés, plus/moins proches) et pouvoir le retirer;True;Front-end;Cartographie & exploration > Sélecteur de captages / BV;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux appliquer un preset afin d'afficher rapidement les territoires les plus concernés.;"Étant donné la zone des presets, quand je choisis « Top 10 les plus exposés » (et les variantes : moins exposés), alors la sélection et la liste affichent les dix unités calculées selon la règle du preset.
Étant donné un preset appliqué, quand la carte et les listes sont rendues, alors les dix unités sont identifiées dans les vues et cohérentes entre elles.
Étant donné une sélection utilisateur préalable, quand j'applique un preset, alors l'application du preset est explicite (remplacement ou superposition selon la règle définie), jamais silencieuse.
Étant donné un preset actif, quand je le retire, alors la sélection antérieure est restituée telle qu'elle était avant l'application.
Étant donné une unité non classable par la règle du preset, quand elle n'est pas retenue, alors elle n'est pas exclue silencieusement et reste consultable."
EPIC 6 – Visualisation;US6.14;Décocher une facette pour retirer filtre ou sélection;True;Front-end;Cartographie & exploration > Outils d'exploration;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux décocher une facette afin de retirer un filtre en un clic.;"Étant donné une facette cochée dans le sélecteur, quand je la décoche, alors le filtre ou la sélection correspondant(e) est retiré(e) et toutes les vues se mettent à jour.
Étant donné une facette décochée, quand je la décoche à nouveau, alors rien ne change (comportement idempotent, sans erreur).
Étant donné un filtre retiré par décochage, quand je le ré-applique, alors le résultat correspond au résultat initial (pas de dérive de l'état)."
EPIC 6 – Visualisation;US6.15;Sélectionner / désélectionner / retirer une unité individuellement;True;Front-end;Cartographie & exploration > Sélecteur de captages / BV;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux sélectionner ou retirer une unité individuellement afin de personnaliser ma sélection.;"Étant donné une liste de captages ou de BVAEP, quand je clique une unité, alors elle est sélectionnée ; au second clic, elle est désélectionnée.
Étant donné une unité sélectionnée, quand je la retire via sa puce ou son bouton dédié, alors elle est retirée de la sélection et les autres unités restent intactes.
Étant donné une sélection en cours, quand j'ajoute une unité individuelle, alors le compteur et la carte intègrent l'unité sans réinitialiser le reste.
Étant donné une unité retirée, quand un graphique est affiché, alors l'unité n'apparaît plus dans les séries renvoyées."
EPIC 6 – Visualisation;US6.16;Conserver indépendamment les sélections Captages et Bassins versants;True;Front-end;Cartographie & exploration > Sélecteur de captages / BV;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux conserver indépendamment les sélections captages et bassins versants afin de ne pas les mélanger.;"Étant donné des sélections distinctes de captages et de BVAEP, quand je passe d'une échelle à l'autre, alors chaque sélection est mémorisée séparément (jamais substituée par l'autre type d'unité).
Étant donné une sélection de captages, quand j'ajoute une sélection de BVAEP, alors les deux coexistent et restent affichées distinctement dans les composants dédiés.
Étant donné la bascule d'échelle, quand je reviens aux captages, alors la sélection de captages d'origine est restituée à l'identique."
EPIC 6 – Visualisation;US6.17;Trier la liste (distance / nom);True;Front-end;Cartographie & exploration > Sélecteur de captages / BV;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux trier la liste par distance ou par nom afin d'organiser ma lecture.;"Étant donné une liste d'unités, quand je choisis « Tri par nom », alors la liste est triée par ordre alphabétique (avec sens ascendant/descendant), sans modifier la sélection.
Étant donné une liste, quand je choisis « Tri par distance », alors la liste ordonne les unités des plus proches aux plus éloignées par rapport à la référence définie (position de recherche ou point central courant).
Étant donné un tri en cours, quand je change de mode, alors l'autre mode s'applique immédiatement.
Étant donné un tri appliqué, quand j'ajoute ou je retire des unités, alors l'ordre est recalculé en conservant le mode choisi."
EPIC 6 – Visualisation;US6.18;Calculer les communes intersectant un BV (≥ 20 %) pour la facette Commune;True;Backend;Cartographie & exploration > Sélecteur de captages / BV;"US3.1 ; US3.2";Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux calculer les communes intersectant un bassin versant afin d'alimenter la facette Commune.;"Étant donné un bassin versant et le référentiel communal, quand le calcul d'intersection est exécuté, alors sont identifiées les communes dont la surface intersectée avec le bassin versant atteint au moins 20 % de la surface du bassin.
Étant donné une commune dont le taux d'intersection est inférieur au seuil de 20 %, quand le calcul est exécuté, alors elle n'est pas retenue pour la facette « Commune ».
Étant donné un bassin versant mis à jour (US3.1), quand le calcul est relancé, alors la liste des communes de la facette reflète les relations à jour du référentiel.
Étant donné la facette « Commune » de la recherche (US6.10), quand elle est alimentée par ce calcul, alors elle ne présente que les communes validées par la règle (≥ 20 %), cohérentes avec la sélection courante des bassins versants.
Étant donné un calcul exécuté, quand le seuil ou le référentiel ont été modifiés, alors le recalcul est rejouable et trace les paramètres utilisés (seuil, version du référentiel), sans saisie manuelle."
EPIC 6 – Visualisation;US6.19;Mettre en évidence le croisement captages ↔ BV sur la carte;True;Front-end;Cartographie & exploration > Cartographie;"US3.1 ; US3.2";Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux mettre en évidence le croisement captages et bassins versants afin de comprendre leurs liens.;"Étant donné des captages appartenant à des BVAEP, quand je demande la mise en évidence du croisement, alors les liens captage → bassin versant sont explicites et lisibles sur la carte.
Étant donné la mise en évidence active, quand je survole un captage, alors le ou les bassins versants associés se mettent en avant (et inversement).
Étant donné le croisement affiché, quand un captage est hors bassin, alors il est distinguable et signalé comme « hors bassin » (pas de lien forcé).
Étant donné un référentiel mis à jour (US3.1 / US3.2), quand la carte est rafraîchie, alors le croisement restitué utilise les relations à jour."
EPIC 6 – Visualisation;US6.20;Choisir le fond de carte (Carto / Satellite / Terrain) via un sélecteur posé sur la carte;True;Front-end;Cartographie & exploration > Cartographie;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux choisir le fond de carte afin d'adapter ma lecture au contexte.;"Étant donné la carte, quand j'ouvre le sélecteur de fond posé sur la carte, alors les trois choix « Cartographie », « Satellite », « Terrain » sont proposés.
Étant donné le choix d'un fond, quand je le valide, alors la carte bascule immédiatement sur ce fond en conservant couches, indicateur et emprise courants.
Étant donné un fond sans couverture (ex. satellite hors zone), quand il est sélectionné, alors un fond de substitution est affiché sans erreur visible.
Étant donné le choix du fond, quand ma préférence est mémorisée, alors elle est ré-appliquée lors des prochaines sessions."
EPIC 6 – Visualisation;US6.21;Afficher / masquer chaque couche (BV, captages, périmètres, zones à risque) depuis une section « Couches » du volet gauche;True;Front-end;Cartographie & exploration > Cartographie;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux afficher ou masquer chaque couche afin de personnaliser ce qui est visible.;"Étant donné le volet gauche avec la section « Couches », quand la vue est ouverte, alors chaque couche est listée (BVAEP, captages, PPE – périmètres de protection, zones à risque) avec son état de visibilité.
Étant donné un basculement de couche, quand je l'affiche, alors elle apparaît immédiatement ; quand je la masque, elle disparaît sans impact sur les autres couches.
Étant donné un indicateur porté par la couche BVAEP, quand la couche est masquée, alors le rendu de l'indicateur est mis en évidence (message proposant sa réactivation) au lieu d'un affichage silencieusement vide.
Étant donné plusieurs couches actives, quand elles se superposent, alors l'ordre de rendu est stable et la lisibilité est conservée."
EPIC 6 – Visualisation;US6.22;Rechercher un indicateur dans un dropdown groupé Famille → Thème → Groupe;True;Front-end;Cartographie & exploration > Catalogue d'indicateurs;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux rechercher un indicateur par famille, thème et groupe afin de le retrouver rapidement.;"Étant donné le menu déroulant des indicateurs, quand je le déploie, alors la liste est hiérarchisée Famille → Thème → Groupe.
Étant donné la hiérarchie, quand je navigue niveau par niveau, alors la recherche restreint la liste aux choix descendants du niveau actif.
Étant donné un texte saisi, quand il correspond à des indicateurs, alors la liste filtrée les présente avec leur libellé, sans ambiguïté.
Étant donné l'indicateur choisi, quand je le valide, alors le catalogue indicateurs et la carte se mettent à jour."
EPIC 6 – Visualisation;US6.23;Consulter la fiche métadonnées depuis la vignette de l'indicateur (pas depuis les graphiques);True;Front-end;Cartographie & exploration > Catalogue d'indicateurs;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux consulter la fiche métadonnées d'un indicateur afin d'en vérifier la définition.;"Étant donné la vignette d'un indicateur, quand je la sélectionne pour les métadonnées, alors la fiche métadonnées s'ouvre.
Étant donné la fiche métadonnées affichée, alors elle contient la définition, l'unité, la période, les sources et le lignage des données mobilisées (catalogue).
Étant donné la règle d'accès, quand je tente d'ouvrir les métadonnées depuis un graphique, alors l'entrée n'est pas activée (accès uniquement depuis la vignette).
Étant donné une fiche métadonnées d'indicateur, quand elle est consultée, alors elle est cohérente avec le catalogue de référence même si l'indicateur n'est pas encore calculé."
EPIC 6 – Visualisation;US6.24;Basculer chaque graphique entre les vues graphique / Temporel / Changements / H3;True;Front-end;Cartographie & exploration > Visualisation & dataviz;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Expert métier eau potable;En tant qu'expert métier eau potable, je veux basculer entre les vues graphiques afin d'analyser la répartition spatiale et l'évolution temporelle.;"Étant donné un graphique d'indicateur, quand il est consulté, alors les bascules « Répartition », « Temporel », « Changements » et « Carte » sont disponibles.
Étant donné un indicateur sans historique, quand la vue « Temporel » serait demandée, alors elle est désactivée (grisée) avec le commentaire « données non historisées ».
Étant donné une vue active, quand je bascule entre les vues, alors l'indicateur, la sélection et la période courants sont transmis à la nouvelle vue.
Étant donné la vue « Changements » demandée, quand les données sont insuffisantes, alors un état « données insuffisantes » est affiché au lieu d'un faux résultat.
Étant donné un indicateur, quand la vue « Carte » (maille H3) est affichée, alors elle est cohérente avec la carte principale (classes et palettes identiques)."
EPIC 6 – Visualisation;US6.25;Voir toute la liste des indicateurs (38) regroupée Famille → Thème → Groupe;True;Front-end;Cartographie & exploration > Catalogue d'indicateurs;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Intéressé public;En tant qu'intéressé public, je veux voir toute la liste des indicateurs afin de connaître ce qui est disponible.;"Étant donné le catalogue d'indicateurs complet, quand je l'ouvre, alors la liste complète (38 indicateurs) s'affiche, regroupée par Famille → Thème → Groupe avec compteurs.
Étant donné un regroupement, quand une famille/thème est sans indicateur visible, alors elle est affichée vide ou masquée selon une règle cohérente, jamais tronquée arbitrairement.
Étant donné le catalogue des indicateurs, quand je recherche par libellé, alors le résultat reste hiérarchisé et identifiable.
Étant donné les droits du profil, quand un indicateur n'est pas autorisé, alors il est absent de la liste pour ce profil, sans message d'erreur."
EPIC 6 – Visualisation;US6.26;Présélectionner les indicateurs du volet droit par famille (tabs), thèmes (pills) et groupe (dropdown);True;Front-end;Cartographie & exploration > Catalogue d'indicateurs;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux présélectionner les indicateurs par famille afin d'orienter l'usage du volet droit.;"Étant donné le volet droit des indicateurs, quand il est affiché, alors les onglets (tabs) par famille, les pastilles (pills) par thème et le menu déroulant par groupe sont disponibles.
Étant donné une famille sélectionnée, quand des pastilles (pills) sont choisies, alors la liste des groupes d'indicateurs est pré-sélectionnée en conséquence.
Étant donné une pré-sélection appliquée, quand le volet droit est rendu, alors l'indicateur proposé est en cohérence avec les thèmes et le groupe sélectionnés.
Étant donné une navigation entre familles, quand je change de tab, alors la pré-sélection de la nouvelle famille s'applique sans confusion avec la précédente. --- EPIC 7 — Aide à la décision"
EPIC 8 – Export;US8.1;Export CSV;True;Front-end;Export & diffusion;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux exporter les données en CSV afin de les réutiliser dans d'autres traitements.;"Étant donné une sélection courante (captages / BVAEP, indicateurs, facettes), quand je lance l'export CSV, alors un fichier CSV est téléchargé couvrant l'ensemble du périmètre sélectionné (filtres inclus).
Étant donné le fichier téléchargé, quand je l'ouvre dans un tableur, alors il est encodé UTF-8 (BOM), avec séparateur cohérent, ligne d'entête et ligne par unité/valeur.
Étant donné les colonnes de l'export, quand le fichier est produit, alors elles sont nommées et documentées (identifiant, nom, échelle, période, valeur, unité) et cohérentes avec la vue affichée.
Étant donné une valeur absente, quand le fichier est rempli, alors la cellule est vide avec un code « NA » documenté (jamais un zéro à la place d'une donnée inconnue).
Étant donné un volume important, quand l'export est demandé, alors le résultat est complet (pagination interne, sans perte silencieuse) et la préparation est signalée si nécessaire."
EPIC 8 – Export;US8.2;Export SIG;False;Front-end;Export & diffusion;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux exporter au format SIG afin de réutiliser les données dans un logiciel cartographique.;
EPIC 8 – Export;US8.3;Rapport PDF;False;Front-end;Export & diffusion;US6.7;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Décideur métier;En tant que décideur métier, je veux générer un rapport PDF afin de présenter les résultats au conseil municipal et formaliser la prise de décision.;
EPIC 8 – Export;US8.4;Partage lien;False;Front-end;Export & diffusion;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux partager un lien afin de transmettre une vue des données à un collaborateur.;
EPIC 8 – Export;US8.5;API;False;Backend;Export & diffusion;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux accéder aux données via une API afin de les réutiliser dans d'autres systèmes.;
EPIC 8 – Export;US8.6;Export vue simple;True;Front-end;Export & diffusion;;Restitution – Diffusion;Pilier 4 – Partage & Diffusion;Administrateur expert data;En tant qu'administrateur expert data, je veux exporter une vue simple afin de partager un état des données.;"Étant donné une « vue simple » en consultation, quand j'en demande l'export, alors je reçois un fichier consolidé et simple de la vue courante : sélection, indicateurs, période et facettes appliquées.
Étant donné l'export de vue simple, quand il est produit, alors son contenu correspond à la vue affichée à l'écran au moment de l'export (ni plus, ni moins).
Étant donné la vue simple, quand l'export est déclenché, alors une seule action suffit, sans paramétrage avancé (adapté aux utilisateurs non techniques).
Étant donné l'export de vue simple, quand le fichier est ouvert, alors les métadonnées d'en-tête (nom de la vue, date d'export, source « HydroScope ») précisent le périmètre diffusé. --- EPIC 9 — Utilisateurs"
EPIC 9 – Utilisateurs;US9.1;Créer compte;False;Front-end;Administration & profils;US9.2;Gouvernance;Transverse (socle);Administrateur plateforme;En tant qu'administrateur plateforme, je veux créer des comptes utilisateurs afin de permettre à chaque usager d'accéder à la plateforme.;
